date,value
2006-03-17,5011.87
2006-03-20,5055.32
2006-03-21,5051.64
2006-03-22,5004.08
2006-03-23,5014.68
2006-03-24,5047.86
2006-03-27,5082.83
2006-03-28,5045.05
2006-03-29,5058.29
2006-03-30,5094.13
2006-03-31,5175.1
2006-04-03,5293.64
2006-04-04,5335.63
2006-04-05,5424.48
2006-04-07,5350.75
2006-04-10,5379.46
2006-04-12,5269.17
2006-04-13,5150.77
2006-04-17,5243.38
2006-04-18,5309.77
2006-04-19,5318.58
2006-04-20,5357.51
2006-04-21,5376.7
2006-04-24,5400.76
2006-04-25,5327.68
2006-04-26,5400.77
2006-04-27,5431.04
2006-04-28,5430.12
2006-04-29,5559.78
2006-05-02,5612.93
2006-05-03,5641.7
2006-05-04,5668.19
2006-05-05,5680.61
2006-05-08,5712.74
2006-05-09,5717.55
2006-05-10,5757.42
2006-05-11,5688.3
2006-05-12,5631.82
2006-05-15,5405.88
2006-05-16,5359.02
2006-05-17,5539.86
2006-05-18,5176.72
2006-05-19,4959.99
2006-05-22,4632.44
2006-05-23,4802.31
2006-05-24,4751.92
2006-05-25,4705.09
2006-05-26,4822.69
2006-05-29,4885.49
2006-05-30,4865.73
2006-05-31,4764.66
2006-06-01,4616.45
2006-06-02,4613.2
2006-06-05,4556.02
2006-06-06,4387.54
2006-06-07,4111.46
2006-06-08,3777.71
2006-06-09,4036.51
2006-06-12,3969.42
2006-06-13,3721.66
2006-06-14,3613.09
2006-06-15,3843.91
2006-06-16,4009.47
2006-06-19,4086.43
2006-06-20,4078.56
2006-06-21,4190.1
2006-06-22,4293.61
2006-06-23,4309.88
2006-06-25,4344.53
2006-06-26,4174.08
2006-06-27,4147.56
2006-06-28,4115.84
2006-06-29,4129.83
2006-06-30,4281.29
2006-07-03,4287.74
2006-07-04,4277.07
2006-07-05,4322.93
2006-07-06,4301.7
2006-07-07,4217.86
2006-07-10,4229.7
2006-07-11,4232.11
2006-07-12,4260.35
2006-07-13,4251.75
2006-07-14,4216.32
2006-07-17,4117.48
2006-07-18,4062.63
2006-07-19,3959.89
2006-07-20,4043.68
2006-07-21,3961.55
2006-07-24,3946.74
2006-07-25,4030.49
2006-07-26,4093.56
2006-07-27,4138.19
2006-07-28,4179.04
2006-07-31,4221.5
2006-08-01,4201.03
2006-08-02,4252.25
2006-08-03,4275.05
2006-08-04,4253.33
2006-08-07,4263.37
2006-08-08,4318.78
2006-08-09,4394.26
2006-08-10,4462.54
2006-08-11,4511.55
2006-08-14,4583.02
2006-08-16,4647.41
2006-08-17,4627.62
2006-08-18,4659.67
2006-08-21,4685.23
2006-08-22,4684.51
2006-08-23,4635.2
2006-08-24,4657.36
2006-08-25,4704.57
2006-08-28,4727.85
2006-08-29,4729.76
2006-08-30,4738.32
2006-08-31,4696.51
2006-09-01,4746.56
2006-09-04,4807.26
2006-09-05,4830.66
2006-09-06,4851.89
2006-09-07,4849.68
2006-09-08,4914.23
2006-09-11,4750.59
2006-09-12,4816.97
2006-09-13,4906.5
2006-09-14,4933.61
2006-09-15,4934.62
2006-09-18,4944.16
2006-09-19,4879.64
2006-09-20,4917.85
2006-09-21,4948.67
2006-09-22,4928.41
2006-09-25,4919.73
2006-09-26,4958.29
2006-09-27,5005.47
2006-09-28,5050.85
2006-09-29,5124.13
2006-10-03,5125.88
2006-10-04,5098.52
2006-10-05,5196.54
2006-10-06,5215.11
2006-10-09,5243.07
2006-10-10,5237.12
2006-10-11,5170.5
2006-10-12,5216.64
2006-10-13,5215.71
2006-10-16,5199
2006-10-17,5175.85
2006-10-18,5196.38
2006-10-19,5142.86
2006-10-20,5178.85
2006-10-21,5207.63
2006-10-23,5176.99
2006-10-26,5220.25
2006-10-27,5289.77
2006-10-30,5294.69
2006-10-31,5282.68
2006-11-01,5309.23
2006-11-02,5342.94
2006-11-03,5329.47
2006-11-06,5391.69
2006-11-07,5407.76
2006-11-08,5354.03
2006-11-09,5403.26
2006-11-10,5431.41
2006-11-13,5500.79
2006-11-14,5492.33
2006-11-15,5507.26
2006-11-16,5521.2
2006-11-17,5431.38
2006-11-20,5350.99
2006-11-21,5431.08
2006-11-22,5480.12
2006-11-23,5511.72
2006-11-24,5525.16
2006-11-27,5554.63
2006-11-28,5507.45
2006-11-29,5565.85
2006-11-30,5542.92
2006-12-01,5605.85
2006-12-04,5628.99
2006-12-05,5644.96
2006-12-06,5593.97
2006-12-07,5604.64
2006-12-08,5579.03
2006-12-11,5405.19
2006-12-12,5168.01
2006-12-13,5289.88
2006-12-14,5426.2
2006-12-15,5482.71
2006-12-18,5480.85
2006-12-19,5405.47
2006-12-20,5387.78
2006-12-21,5443.33
2006-12-22,5492.12
2006-12-26,5557.9
2006-12-27,5616.8
2006-12-28,5640.33
2006-12-29,5691.83
2007-01-02,5665.01
2007-01-03,5710.88
2007-01-04,5721.87
2007-01-05,5705.99
2007-01-08,5644.58
2007-01-09,5594.56
2007-01-10,5545.9
2007-01-11,5629.46
2007-01-12,5723.9
2007-01-15,5758.22
2007-01-16,5779.74
2007-01-17,5825.45
2007-01-18,5824.68
2007-01-19,5784.72
2007-01-22,5783.62
2007-01-23,5706.32
2007-01-24,5748.64
2007-01-25,5821.9
2007-01-29,5831.92
2007-01-31,5781.6
2007-02-01,5837.85
2007-02-02,5856.06
2007-02-05,5885.41
2007-02-06,5905.06
2007-02-07,5924.23
2007-02-08,5926.71
2007-02-09,5797.17
2007-02-12,5575.62
2007-02-13,5569.07
2007-02-14,5583.37
2007-02-15,5747.19
2007-02-19,5737.81
2007-02-20,5665.15
2007-02-21,5664.88
2007-02-22,5588.6
2007-02-23,5479.56
2007-02-26,5524.65
2007-02-27,5538.19
2007-02-28,5345.51
2007-03-01,5363.05
2007-03-02,5310.39
2007-03-05,5040.88
2007-03-06,5074.97
2007-03-07,4960.05
2007-03-08,5129.82
2007-03-09,5104.34
2007-03-12,5144.46
2007-03-13,5187.27
2007-03-14,5068.83
2007-03-15,5081.65
2007-03-16,5043.86
2007-03-19,5115.48
2007-03-20,5186.24
2007-03-21,5229.66
2007-03-22,5317.87
2007-03-23,5338.16
2007-03-26,5325.08
2007-03-28,5253.58
2007-03-29,5263.34
2007-03-30,5337.35
2007-04-02,5156.98
2007-04-03,5190.5
2007-04-04,5233.62
2007-04-05,5294.53
2007-04-09,5394.03
2007-04-10,5457.48
2007-04-11,5468.05
2007-04-12,5447.29
2007-04-13,5533.92
2007-04-16,5616.92
2007-04-17,5605.68
2007-04-18,5635.13
2007-04-19,5631.72
2007-04-20,5684.65
2007-04-23,5689.33
2007-04-24,5745.28
2007-04-25,5801.24
2007-04-26,5772.45
2007-04-27,5721.22
2007-04-30,5778.88
2007-05-03,5881.02
2007-05-04,5891.6
2007-05-07,5854.31
2007-05-08,5767.6
2007-05-09,5794.7
2007-05-10,5815.08
2007-05-11,5833.87
2007-05-14,5925.09
2007-05-15,5957.87
2007-05-16,6031.08
2007-05-17,6081.43
2007-05-18,6099.39
2007-05-21,6158.66
2007-05-22,6200.04
2007-05-23,6148.42
2007-05-24,6131.84
2007-05-25,6148.8
2007-05-28,6227
2007-05-29,6258.68
2007-05-30,6173.15
2007-05-31,6222.49
2007-06-01,6270.94
2007-06-04,6259.04
2007-06-05,6280.37
2007-06-06,6183.08
2007-06-07,6183.85
2007-06-08,6165.93
2007-06-11,6140.92
2007-06-12,6100.04
2007-06-13,6077.03
2007-06-14,6202.58
2007-06-15,6240.16
2007-06-18,6229.07
2007-06-19,6297.86
2007-06-20,6376.17
2007-06-21,6431.63
2007-06-22,6435.55
2007-06-25,6436.88
2007-06-26,6492.83
2007-06-27,6479.63
2007-06-28,6503.25
2007-06-29,6602.4
2007-07-02,6628.64
2007-07-03,6676.09
2007-07-04,6669.3
2007-07-05,6620.24
2007-07-06,6626.52
2007-07-09,6689.03
2007-07-10,6664.91
2007-07-11,6703.73
2007-07-12,6809.91
2007-07-13,6863.01
2007-07-16,6926.52
2007-07-17,6895.38
2007-07-18,6881.18
2007-07-19,6946.3
2007-07-20,6935.79
2007-07-23,7001.13
2007-07-24,6950.45
2007-07-25,6868.52
2007-07-26,6889.43
2007-07-27,6674.83
2007-07-30,6692.54
2007-07-31,6835.73
2007-08-01,6554.62
2007-08-02,6597.54
2007-08-03,6696.15
2007-08-06,6612.84
2007-08-07,6660.18
2007-08-08,6781.74
2007-08-09,6650.99
2007-08-10,6571.87
2007-08-13,6637.17
2007-08-14,6640.71
2007-08-16,6379.29
2007-08-17,6255.03
2007-08-20,6350.67
2007-08-21,6110.23
2007-08-22,6158.22
2007-08-23,6117.48
2007-08-24,6227.56
2007-08-27,6422.63
2007-08-28,6474.57
2007-08-29,6511.73
